"train/epoch","Qwen/Qwen3-32B-low-format - _step","Qwen/Qwen3-32B-low-format - _step__MIN","Qwen/Qwen3-32B-low-format - _step__MAX","Qwen/Qwen3-32B-low-format - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-32B-low-format - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-32B-low-format - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-14B-low-format - _step","Qwen/Qwen3-14B-low-format - _step__MIN","Qwen/Qwen3-14B-low-format - _step__MAX","Qwen/Qwen3-14B-low-format - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-14B-low-format - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-14B-low-format - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-0.6B-low-format - _step","Qwen/Qwen3-0.6B-low-format - _step__MIN","Qwen/Qwen3-0.6B-low-format - _step__MAX","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-4B-low-format - _step","Qwen/Qwen3-4B-low-format - _step__MIN","Qwen/Qwen3-4B-low-format - _step__MAX","Qwen/Qwen3-4B-low-format - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-4B-low-format - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-4B-low-format - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-32B - _step","Qwen/Qwen3-32B - _step__MIN","Qwen/Qwen3-32B - _step__MAX","Qwen/Qwen3-32B - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-32B - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-32B - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-14B - _step","Qwen/Qwen3-14B - _step__MIN","Qwen/Qwen3-14B - _step__MAX","Qwen/Qwen3-14B - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-14B - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-14B - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-4B - _step","Qwen/Qwen3-4B - _step__MIN","Qwen/Qwen3-4B - _step__MAX","Qwen/Qwen3-4B - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-4B - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-4B - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-0.6B - _step","Qwen/Qwen3-0.6B - _step__MIN","Qwen/Qwen3-0.6B - _step__MAX","Qwen/Qwen3-0.6B - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-0.6B - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-0.6B - train/rewards/reward_no_rule_crossing/mean__MAX"
"0.7784431137724551","1702","1702","1702","0.8666666746139526","0.8666666746139526","0.8666666746139526","","","","","","","","","","","","","","","","","","","1702","1702","1702","0.7833333313465118","0.7833333313465118","0.7833333313465118","","","","","","","","","","","","","","","","","",""
"0.78","","","","","","","","","","","","","5108","5108","5108","0.8","0.8","0.8","5108","5108","5108","0.85","0.85","0.85","","","","","","","","","","","","","5108","5108","5108","0.9","0.9","0.9","5108","5108","5108","0.85","0.85","0.85"
"0.8","","","","","","","2619","2619","2619","0.9125","0.9125","0.9125","5239","5239","5239","0.9","0.9","0.9","5239","5239","5239","0.825","0.825","0.825","","","","","","","2619","2619","2619","0.8125","0.8125","0.8125","5239","5239","5239","0.975","0.975","0.975","5239","5239","5239","0.8","0.8","0.8"
"0.82","","","","","","","","","","","","","5370","5370","5370","0.825","0.825","0.825","5370","5370","5370","0.75","0.75","0.75","","","","","","","","","","","","","5370","5370","5370","0.875","0.875","0.875","5370","5370","5370","0.8","0.8","0.8"
"0.8383233532934131","1833","1833","1833","0.8750000119209289","0.8750000119209289","0.8750000119209289","","","","","","","","","","","","","","","","","","","1833","1833","1833","0.7916666597127915","0.7916666597127915","0.7916666597127915","","","","","","","","","","","","","","","","","",""
"0.84","","","","","","","2750","2750","2750","0.875","0.875","0.875","5501","5501","5501","0.875","0.875","0.875","5501","5501","5501","0.8","0.8","0.8","","","","","","","2750","2750","2750","0.775","0.775","0.775","5501","5501","5501","0.975","0.975","0.975","5501","5501","5501","0.975","0.975","0.975"
"0.86","","","","","","","","","","","","","5632","5632","5632","0.8","0.8","0.8","5632","5632","5632","0.775","0.775","0.775","","","","","","","","","","","","","5632","5632","5632","0.95","0.95","0.95","5632","5632","5632","0.85","0.85","0.85"
"0.88","","","","","","","2881","2881","2881","0.9","0.9","0.9","5763","5763","5763","0.85","0.85","0.85","5763","5763","5763","0.85","0.85","0.85","","","","","","","2881","2881","2881","0.825","0.825","0.825","5763","5763","5763","0.975","0.975","0.975","5763","5763","5763","1","1","1"
"0.8982035928143712","1964","1964","1964","0.8666666746139526","0.8666666746139526","0.8666666746139526","","","","","","","","","","","","","","","","","","","1964","1964","1964","0.7083333313465119","0.7083333313465119","0.7083333313465119","","","","","","","","","","","","","","","","","",""
"0.9","","","","","","","","","","","","","5894","5894","5894","0.8","0.8","0.8","5894","5894","5894","0.925","0.925","0.925","","","","","","","","","","","","","5894","5894","5894","0.875","0.875","0.875","5894","5894","5894","0.925","0.925","0.925"
"0.92","","","","","","","3012","3012","3012","0.925","0.925","0.925","6025","6025","6025","0.975","0.975","0.975","6025","6025","6025","0.775","0.775","0.775","","","","","","","3012","3012","3012","0.875","0.875","0.875","6025","6025","6025","0.925","0.925","0.925","6025","6025","6025","0.925","0.925","0.925"
"0.94","","","","","","","","","","","","","6156","6156","6156","0.9","0.9","0.9","6156","6156","6156","0.75","0.75","0.75","","","","","","","","","","","","","6156","6156","6156","0.95","0.95","0.95","6156","6156","6156","1","1","1"
"0.9580838323353293","2095","2095","2095","0.8083333313465119","0.8083333313465119","0.8083333313465119","","","","","","","","","","","","","","","","","","","2095","2095","2095","0.6083333283662796","0.6083333283662796","0.6083333283662796","","","","","","","","","","","","","","","","","",""
"0.96","","","","","","","3143","3143","3143","0.825","0.825","0.825","6287","6287","6287","0.875","0.875","0.875","6287","6287","6287","0.8","0.8","0.8","","","","","","","3143","3143","3143","0.8125","0.8125","0.8125","6287","6287","6287","0.875","0.875","0.875","6287","6287","6287","0.925","0.925","0.925"
"0.98","","","","","","","","","","","","","6418","6418","6418","0.8","0.8","0.8","6418","6418","6418","0.95","0.95","0.95","","","","","","","","","","","","","6418","6418","6418","1","1","1","6418","6418","6418","0.95","0.95","0.95"
"1","","","","","","","3274","3274","3274","0.8375","0.8375","0.8375","6549","6549","6549","0.875","0.875","0.875","6549","6549","6549","0.725","0.725","0.725","","","","","","","3274","3274","3274","0.9","0.9","0.9","6549","6549","6549","0.825","0.825","0.825","6549","6549","6549","0.825","0.825","0.825"
"1.02","","","","","","","","","","","","","6680","6680","6680","0.875","0.875","0.875","6680","6680","6680","0.8","0.8","0.8","","","","","","","","","","","","","6680","6680","6680","0.9","0.9","0.9","6680","6680","6680","0.85","0.85","0.85"
"1.0239520958083832","2226","2226","2226","0.8583333432674408","0.8583333432674408","0.8583333432674408","","","","","","","","","","","","","","","","","","","2226","2226","2226","0.5666666597127914","0.5666666597127914","0.5666666597127914","","","","","","","","","","","","","","","","","",""
"1.04","","","","","","","3405","3405","3405","0.8625","0.8625","0.8625","6811","6811","6811","0.875","0.875","0.875","6811","6811","6811","0.9","0.9","0.9","","","","","","","3405","3405","3405","0.9","0.9","0.9","6811","6811","6811","1","1","1","6811","6811","6811","0.975","0.975","0.975"
"1.06","","","","","","","","","","","","","6942","6942","6942","0.925","0.925","0.925","6942","6942","6942","0.85","0.85","0.85","","","","","","","","","","","","","6942","6942","6942","0.925","0.925","0.925","6942","6942","6942","0.875","0.875","0.875"
"1.08","","","","","","","3536","3536","3536","0.9","0.9","0.9","7073","7073","7073","0.925","0.925","0.925","7073","7073","7073","0.825","0.825","0.825","","","","","","","3536","3536","3536","0.875","0.875","0.875","7073","7073","7073","1","1","1","7073","7073","7073","0.95","0.95","0.95"
"1.0838323353293413","2357","2357","2357","0.8","0.8","0.8","","","","","","","","","","","","","","","","","","","2357","2357","2357","0.725000011920929","0.725000011920929","0.725000011920929","","","","","","","","","","","","","","","","","",""
"1.1","","","","","","","","","","","","","7204","7204","7204","0.9","0.9","0.9","7204","7204","7204","0.775","0.775","0.775","","","","","","","","","","","","","7204","7204","7204","0.85","0.85","0.85","7204","7204","7204","0.675","0.675","0.675"
"1.12","","","","","","","3667","3667","3667","0.85","0.85","0.85","7335","7335","7335","0.85","0.85","0.85","7335","7335","7335","0.775","0.775","0.775","","","","","","","3667","3667","3667","0.85","0.85","0.85","7335","7335","7335","0.875","0.875","0.875","7335","7335","7335","0.775","0.775","0.775"
"1.1400000000000001","","","","","","","","","","","","","7466","7466","7466","0.75","0.75","0.75","7466","7466","7466","0.725","0.725","0.725","","","","","","","","","","","","","7466","7466","7466","0.95","0.95","0.95","7466","7466","7466","0.825","0.825","0.825"
"1.1437125748502994","2488","2488","2488","0.775","0.775","0.775","","","","","","","","","","","","","","","","","","","2488","2488","2488","0.6916666626930237","0.6916666626930237","0.6916666626930237","","","","","","","","","","","","","","","","","",""
"1.16","","","","","","","3798","3798","3798","0.9","0.9","0.9","7597","7597","7597","0.875","0.875","0.875","7597","7597","7597","0.75","0.75","0.75","","","","","","","3798","3798","3798","0.8","0.8","0.8","7597","7597","7597","0.8","0.8","0.8","7597","7597","7597","0.7","0.7","0.7"
"1.18","","","","","","","","","","","","","7728","7728","7728","0.9","0.9","0.9","7728","7728","7728","0.9","0.9","0.9","","","","","","","","","","","","","7728","7728","7728","0.975","0.975","0.975","7728","7728","7728","0.8","0.8","0.8"
"1.2","","","","","","","3929","3929","3929","0.9125","0.9125","0.9125","7859","7859","7859","0.975","0.975","0.975","7859","7859","7859","0.825","0.825","0.825","","","","","","","3929","3929","3929","0.9125","0.9125","0.9125","7859","7859","7859","0.95","0.95","0.95","7859","7859","7859","0.725","0.725","0.725"
"1.2035928143712575","2619","2619","2619","0.8249999940395355","0.8249999940395355","0.8249999940395355","","","","","","","","","","","","","","","","","","","2619","2619","2619","0.7666666626930236","0.7666666626930236","0.7666666626930236","","","","","","","","","","","","","","","","","",""
"1.22","","","","","","","","","","","","","7990","7990","7990","0.775","0.775","0.775","7990","7990","7990","0.95","0.95","0.95","","","","","","","","","","","","","7990","7990","7990","1","1","1","7990","7990","7990","0.825","0.825","0.825"
"1.24","","","","","","","4060","4060","4060","0.9125","0.9125","0.9125","8121","8121","8121","0.9","0.9","0.9","8121","8121","8121","0.95","0.95","0.95","","","","","","","4060","4060","4060","0.8625","0.8625","0.8625","8121","8121","8121","0.9","0.9","0.9","8121","8121","8121","0.75","0.75","0.75"
"1.26","","","","","","","","","","","","","8252","8252","8252","0.875","0.875","0.875","8252","8252","8252","0.775","0.775","0.775","","","","","","","","","","","","","8252","8252","8252","1","1","1","8252","8252","8252","0.85","0.85","0.85"
"1.2634730538922156","2750","2750","2750","0.775","0.775","0.775","","","","","","","","","","","","","","","","","","","2750","2750","2750","0.7583333313465118","0.7583333313465118","0.7583333313465118","","","","","","","","","","","","","","","","","",""
"1.28","","","","","","","4191","4191","4191","0.825","0.825","0.825","8383","8383","8383","0.85","0.85","0.85","8383","8383","8383","0.925","0.925","0.925","","","","","","","4191","4191","4191","0.825","0.825","0.825","8383","8383","8383","1","1","1","8383","8383","8383","0.925","0.925","0.925"
"1.3","","","","","","","","","","","","","8514","8514","8514","0.925","0.925","0.925","8514","8514","8514","0.9","0.9","0.9","","","","","","","","","","","","","8514","8514","8514","0.925","0.925","0.925","8514","8514","8514","0.9","0.9","0.9"
"1.32","","","","","","","4322","4322","4322","0.7625","0.7625","0.7625","8645","8645","8645","0.775","0.775","0.775","8645","8645","8645","0.9","0.9","0.9","","","","","","","4322","4322","4322","0.8625","0.8625","0.8625","8645","8645","8645","1","1","1","8645","8645","8645","0.675","0.675","0.675"
"1.3233532934131738","2881","2881","2881","0.725","0.725","0.725","","","","","","","","","","","","","","","","","","","2881","2881","2881","0.8083333432674408","0.8083333432674408","0.8083333432674408","","","","","","","","","","","","","","","","","",""
"1.34","","","","","","","","","","","","","8776","8776","8776","0.725","0.725","0.725","8776","8776","8776","0.975","0.975","0.975","","","","","","","","","","","","","8776","8776","8776","1","1","1","8776","8776","8776","0.8","0.8","0.8"
"1.3599999999999999","","","","","","","4453","4453","4453","0.9125","0.9125","0.9125","8907","8907","8907","0.75","0.75","0.75","8907","8907","8907","0.975","0.975","0.975","","","","","","","4453","4453","4453","0.9875","0.9875","0.9875","8907","8907","8907","0.925","0.925","0.925","8907","8907","8907","0.85","0.85","0.85"
"1.38","","","","","","","","","","","","","9038","9038","9038","0.8","0.8","0.8","9038","9038","9038","0.875","0.875","0.875","","","","","","","","","","","","","9038","9038","9038","0.95","0.95","0.95","9038","9038","9038","0.825","0.825","0.825"
"1.3832335329341316","3012","3012","3012","0.8416666656732559","0.8416666656732559","0.8416666656732559","","","","","","","","","","","","","","","","","","","3012","3012","3012","0.7666666597127915","0.7666666597127915","0.7666666597127915","","","","","","","","","","","","","","","","","",""
"1.4","","","","","","","4584","4584","4584","0.825","0.825","0.825","9169","9169","9169","0.7","0.7","0.7","9169","9169","9169","0.775","0.775","0.775","","","","","","","4584","4584","4584","0.8125","0.8125","0.8125","9169","9169","9169","0.85","0.85","0.85","9169","9169","9169","0.575","0.575","0.575"
"1.42","","","","","","","","","","","","","9300","9300","9300","0.675","0.675","0.675","9300","9300","9300","0.925","0.925","0.925","","","","","","","","","","","","","9300","9300","9300","0.9","0.9","0.9","9300","9300","9300","0.825","0.825","0.825"
"1.44","","","","","","","4715","4715","4715","0.875","0.875","0.875","9431","9431","9431","0.775","0.775","0.775","9431","9431","9431","0.925","0.925","0.925","","","","","","","4715","4715","4715","0.8375","0.8375","0.8375","9431","9431","9431","0.875","0.875","0.875","9431","9431","9431","0.825","0.825","0.825"
"1.4431137724550898","3143","3143","3143","0.8416666686534882","0.8416666686534882","0.8416666686534882","","","","","","","","","","","","","","","","","","","3143","3143","3143","0.7666666626930236","0.7666666626930236","0.7666666626930236","","","","","","","","","","","","","","","","","",""
"1.46","","","","","","","","","","","","","9562","9562","9562","0.8","0.8","0.8","9562","9562","9562","0.925","0.925","0.925","","","","","","","","","","","","","9562","9562","9562","0.975","0.975","0.975","9562","9562","9562","0.775","0.775","0.775"
"1.48","","","","","","","4846","4846","4846","0.925","0.925","0.925","9693","9693","9693","0.775","0.775","0.775","9693","9693","9693","0.925","0.925","0.925","","","","","","","4846","4846","4846","0.9125","0.9125","0.9125","9693","9693","9693","0.9","0.9","0.9","9693","9693","9693","0.775","0.775","0.775"
"1.5","","","","","","","","","","","","","9824","9824","9824","0.85","0.85","0.85","9824","9824","9824","1","1","1","","","","","","","","","","","","","9824","9824","9824","0.975","0.975","0.975","9824","9824","9824","0.775","0.775","0.775"
"1.5029940119760479","3274","3274","3274","0.8750000059604645","0.8750000059604645","0.8750000059604645","","","","","","","","","","","","","","","","","","","3274","3274","3274","0.8","0.8","0.8","","","","","","","","","","","","","","","","","",""
"1.52","","","","","","","4977","4977","4977","0.9","0.9","0.9","9955","9955","9955","0.75","0.75","0.75","9955","9955","9955","0.95","0.95","0.95","","","","","","","4977","4977","4977","0.9","0.9","0.9","9955","9955","9955","1","1","1","9955","9955","9955","0.8","0.8","0.8"
"1.54","","","","","","","","","","","","","10086","10086","10086","0.575","0.575","0.575","10086","10086","10086","0.9","0.9","0.9","","","","","","","","","","","","","10086","10086","10086","0.925","0.925","0.925","10086","10086","10086","0.575","0.575","0.575"
"1.56","","","","","","","5108","5108","5108","0.725","0.725","0.725","10217","10217","10217","0.7","0.7","0.7","10217","10217","10217","0.925","0.925","0.925","","","","","","","5108","5108","5108","0.7625","0.7625","0.7625","10217","10217","10217","0.75","0.75","0.75","10217","10217","10217","0.6","0.6","0.6"
"1.562874251497006","3405","3405","3405","0.800000011920929","0.800000011920929","0.800000011920929","","","","","","","","","","","","","","","","","","","3405","3405","3405","0.7333333283662796","0.7333333283662796","0.7333333283662796","","","","","","","","","","","","","","","","","",""
"1.58","","","","","","","","","","","","","10348","10348","10348","0.65","0.65","0.65","10348","10348","10348","0.95","0.95","0.95","","","","","","","","","","","","","10348","10348","10348","1","1","1","10348","10348","10348","0.7","0.7","0.7"
"1.6","","","","","","","5239","5239","5239","0.9125","0.9125","0.9125","10479","10479","10479","0.825","0.825","0.825","10479","10479","10479","0.925","0.925","0.925","","","","","","","5239","5239","5239","0.875","0.875","0.875","10479","10479","10479","0.95","0.95","0.95","10479","10479","10479","0.75","0.75","0.75"
"1.62","","","","","","","","","","","","","10610","10610","10610","0.65","0.65","0.65","10610","10610","10610","0.875","0.875","0.875","","","","","","","","","","","","","10610","10610","10610","0.85","0.85","0.85","10610","10610","10610","0.725","0.725","0.725"
"1.622754491017964","3536","3536","3536","0.775","0.775","0.775","","","","","","","","","","","","","","","","","","","3536","3536","3536","0.725","0.725","0.725","","","","","","","","","","","","","","","","","",""
"1.6400000000000001","","","","","","","5370","5370","5370","0.85","0.85","0.85","10741","10741","10741","0.875","0.875","0.875","10741","10741","10741","0.75","0.75","0.75","","","","","","","5370","5370","5370","0.825","0.825","0.825","10741","10741","10741","0.9","0.9","0.9","10741","10741","10741","0.8","0.8","0.8"
"1.6600000000000001","","","","","","","","","","","","","10872","10872","10872","0.8","0.8","0.8","10872","10872","10872","0.975","0.975","0.975","","","","","","","","","","","","","10872","10872","10872","1","1","1","10872","10872","10872","0.85","0.85","0.85"
"1.6800000000000002","","","","","","","5501","5501","5501","0.8375","0.8375","0.8375","11003","11003","11003","0.95","0.95","0.95","11003","11003","11003","0.95","0.95","0.95","","","","","","","5501","5501","5501","0.9375","0.9375","0.9375","11003","11003","11003","1","1","1","11003","11003","11003","0.925","0.925","0.925"
"1.6826347305389222","3667","3667","3667","0.808333334326744","0.808333334326744","0.808333334326744","","","","","","","","","","","","","","","","","","","3667","3667","3667","0.6416666656732559","0.6416666656732559","0.6416666656732559","","","","","","","","","","","","","","","","","",""
"1.7","","","","","","","","","","","","","11134","11134","11134","0.65","0.65","0.65","11134","11134","11134","0.7","0.7","0.7","","","","","","","","","","","","","11134","11134","11134","0.775","0.775","0.775","11134","11134","11134","0.55","0.55","0.55"
"1.72","","","","","","","5632","5632","5632","0.8","0.8","0.8","11265","11265","11265","0.925","0.925","0.925","11265","11265","11265","0.975","0.975","0.975","","","","","","","5632","5632","5632","0.825","0.825","0.825","11265","11265","11265","0.975","0.975","0.975","11265","11265","11265","0.975","0.975","0.975"
"1.74","","","","","","","","","","","","","11396","11396","11396","0.85","0.85","0.85","11396","11396","11396","0.95","0.95","0.95","","","","","","","","","","","","","11396","11396","11396","0.875","0.875","0.875","11396","11396","11396","0.575","0.575","0.575"
"1.7425149700598803","3798","3798","3798","0.8333333313465119","0.8333333313465119","0.8333333313465119","","","","","","","","","","","","","","","","","","","3798","3798","3798","0.7083333313465119","0.7083333313465119","0.7083333313465119","","","","","","","","","","","","","","","","","",""
"1.76","","","","","","","5763","5763","5763","0.925","0.925","0.925","11527","11527","11527","0.875","0.875","0.875","11527","11527","11527","1","1","1","","","","","","","5763","5763","5763","0.875","0.875","0.875","11527","11527","11527","0.95","0.95","0.95","11527","11527","11527","0.9","0.9","0.9"
"1.78","","","","","","","","","","","","","11658","11658","11658","0.875","0.875","0.875","11658","11658","11658","0.925","0.925","0.925","","","","","","","","","","","","","11658","11658","11658","0.975","0.975","0.975","11658","11658","11658","0.95","0.95","0.95"
"1.8","","","","","","","5894","5894","5894","0.825","0.825","0.825","11789","11789","11789","0.7","0.7","0.7","11789","11789","11789","0.975","0.975","0.975","","","","","","","5894","5894","5894","0.925","0.925","0.925","11789","11789","11789","0.875","0.875","0.875","11789","11789","11789","0.825","0.825","0.825"
"1.8023952095808382","3929","3929","3929","0.8333333373069763","0.8333333373069763","0.8333333373069763","","","","","","","","","","","","","","","","","","","3929","3929","3929","0.7666666686534882","0.7666666686534882","0.7666666686534882","","","","","","","","","","","","","","","","","",""
"1.8199999999999998","","","","","","","","","","","","","11920","11920","11920","0.925","0.925","0.925","11920","11920","11920","0.875","0.875","0.875","","","","","","","","","","","","","11920","11920","11920","0.975","0.975","0.975","11920","11920","11920","0.875","0.875","0.875"
"1.8399999999999999","","","","","","","6025","6025","6025","0.8625","0.8625","0.8625","12051","12051","12051","0.7","0.7","0.7","12051","12051","12051","0.975","0.975","0.975","","","","","","","6025","6025","6025","0.9125","0.9125","0.9125","12051","12051","12051","0.975","0.975","0.975","12051","12051","12051","0.625","0.625","0.625"
"1.8599999999999999","","","","","","","","","","","","","12182","12182","12182","0.775","0.775","0.775","12182","12182","12182","0.95","0.95","0.95","","","","","","","","","","","","","12182","12182","12182","0.875","0.875","0.875","12182","12182","12182","0.725","0.725","0.725"
"1.8622754491017965","4060","4060","4060","0.7750000059604645","0.7750000059604645","0.7750000059604645","","","","","","","","","","","","","","","","","","","4060","4060","4060","0.6916666686534881","0.6916666686534881","0.6916666686534881","","","","","","","","","","","","","","","","","",""
"1.88","","","","","","","6156","6156","6156","0.825","0.825","0.825","12313","12313","12313","0.6","0.6","0.6","12313","12313","12313","0.875","0.875","0.875","","","","","","","6156","6156","6156","0.9375","0.9375","0.9375","12313","12313","12313","0.95","0.95","0.95","12313","12313","12313","0.775","0.775","0.775"
"1.9","","","","","","","","","","","","","12444","12444","12444","0.8","0.8","0.8","12444","12444","12444","0.9","0.9","0.9","","","","","","","","","","","","","12444","12444","12444","0.95","0.95","0.95","12444","12444","12444","0.85","0.85","0.85"
"1.92","","","","","","","6287","6287","6287","0.95","0.95","0.95","12575","12575","12575","0.8","0.8","0.8","12575","12575","12575","0.85","0.85","0.85","","","","","","","6287","6287","6287","0.9625","0.9625","0.9625","12575","12575","12575","0.875","0.875","0.875","12575","12575","12575","0.75","0.75","0.75"
"1.9221556886227544","4191","4191","4191","0.9000000059604645","0.9000000059604645","0.9000000059604645","","","","","","","","","","","","","","","","","","","4191","4191","4191","0.7333333432674408","0.7333333432674408","0.7333333432674408","","","","","","","","","","","","","","","","","",""
"1.94","","","","","","","","","","","","","12706","12706","12706","0.55","0.55","0.55","12706","12706","12706","0.925","0.925","0.925","","","","","","","","","","","","","12706","12706","12706","0.975","0.975","0.975","12706","12706","12706","0.6","0.6","0.6"
"1.96","","","","","","","6418","6418","6418","0.8875","0.8875","0.8875","12837","12837","12837","0.975","0.975","0.975","12837","12837","12837","0.875","0.875","0.875","","","","","","","6418","6418","6418","0.925","0.925","0.925","12837","12837","12837","0.875","0.875","0.875","12837","12837","12837","0.825","0.825","0.825"
"1.98","","","","","","","","","","","","","12968","12968","12968","0.775","0.775","0.775","12968","12968","12968","0.775","0.775","0.775","","","","","","","","","","","","","12968","12968","12968","0.875","0.875","0.875","12968","12968","12968","0.8","0.8","0.8"
"1.9820359281437125","4322","4322","4322","0.7500000029802323","0.7500000029802323","0.7500000029802323","","","","","","","","","","","","","","","","","","","4322","4322","4322","0.6750000029802322","0.6750000029802322","0.6750000029802322","","","","","","","","","","","","","","","","","",""
"2","","","","","","","6549","6549","6549","0.575","0.575","0.575","13099","13099","13099","0.725","0.725","0.725","13099","13099","13099","0.625","0.625","0.625","","","","","","","6549","6549","6549","0.75","0.75","0.75","13099","13099","13099","0.875","0.875","0.875","13099","13099","13099","0.65","0.65","0.65"
"2.02","","","","","","","","","","","","","13230","13230","13230","0.775","0.775","0.775","13230","13230","13230","0.975","0.975","0.975","","","","","","","","","","","","","13230","13230","13230","0.95","0.95","0.95","13230","13230","13230","0.95","0.95","0.95"
"2.04","","","","","","","6680","6680","6680","0.875","0.875","0.875","13361","13361","13361","0.5","0.5","0.5","13361","13361","13361","0.8","0.8","0.8","","","","","","","6680","6680","6680","0.925","0.925","0.925","13361","13361","13361","0.85","0.85","0.85","13361","13361","13361","0.8","0.8","0.8"
"2.0479041916167664","4453","4453","4453","0.8083333492279052","0.8083333492279052","0.8083333492279052","","","","","","","","","","","","","","","","","","","4453","4453","4453","0.6916666716337204","0.6916666716337204","0.6916666716337204","","","","","","","","","","","","","","","","","",""
"2.06","","","","","","","","","","","","","13492","13492","13492","0.475","0.475","0.475","13492","13492","13492","0.775","0.775","0.775","","","","","","","","","","","","","13492","13492","13492","0.8","0.8","0.8","13492","13492","13492","0.575","0.575","0.575"
"2.08","","","","","","","6811","6811","6811","0.85","0.85","0.85","13623","13623","13623","0.775","0.775","0.775","13623","13623","13623","0.9","0.9","0.9","","","","","","","6811","6811","6811","0.85","0.85","0.85","13623","13623","13623","0.875","0.875","0.875","13623","13623","13623","0.825","0.825","0.825"
"2.1","","","","","","","","","","","","","13754","13754","13754","0.775","0.775","0.775","13754","13754","13754","0.825","0.825","0.825","","","","","","","","","","","","","13754","13754","13754","1","1","1","13754","13754","13754","0.825","0.825","0.825"
"2.1077844311377247","4584","4584","4584","0.825","0.825","0.825","","","","","","","","","","","","","","","","","","","4584","4584","4584","0.725","0.725","0.725","","","","","","","","","","","","","","","","","",""
"2.12","","","","","","","6942","6942","6942","0.8","0.8","0.8","13885","13885","13885","0.8","0.8","0.8","13885","13885","13885","0.875","0.875","0.875","","","","","","","6942","6942","6942","0.875","0.875","0.875","13885","13885","13885","0.9","0.9","0.9","13885","13885","13885","0.7","0.7","0.7"
"2.14","","","","","","","","","","","","","14016","14016","14016","1","1","1","14016","14016","14016","0.9","0.9","0.9","","","","","","","","","","","","","14016","14016","14016","0.925","0.925","0.925","14016","14016","14016","1","1","1"
"2.16","","","","","","","7073","7073","7073","0.85","0.85","0.85","14147","14147","14147","0.8","0.8","0.8","14147","14147","14147","0.775","0.775","0.775","","","","","","","7073","7073","7073","0.85","0.85","0.85","14147","14147","14147","0.825","0.825","0.825","14147","14147","14147","0.675","0.675","0.675"
"2.1676646706586826","4715","4715","4715","0.8083333402872086","0.8083333402872086","0.8083333402872086","","","","","","","","","","","","","","","","","","","4715","4715","4715","0.8000000029802322","0.8000000029802322","0.8000000029802322","","","","","","","","","","","","","","","","","",""
"2.18","","","","","","","","","","","","","14278","14278","14278","0.875","0.875","0.875","14278","14278","14278","0.875","0.875","0.875","","","","","","","","","","","","","14278","14278","14278","1","1","1","14278","14278","14278","0.875","0.875","0.875"
"2.2","","","","","","","7204","7204","7204","0.7625","0.7625","0.7625","14409","14409","14409","0.85","0.85","0.85","14409","14409","14409","0.75","0.75","0.75","","","","","","","7204","7204","7204","0.8875","0.8875","0.8875","14409","14409","14409","0.925","0.925","0.925","14409","14409","14409","0.775","0.775","0.775"
"2.22","","","","","","","","","","","","","14540","14540","14540","0.875","0.875","0.875","14540","14540","14540","0.9","0.9","0.9","","","","","","","","","","","","","14540","14540","14540","1","1","1","14540","14540","14540","0.7","0.7","0.7"
"2.2275449101796405","4846","4846","4846","0.9083333373069763","0.9083333373069763","0.9083333373069763","","","","","","","","","","","","","","","","","","","4846","4846","4846","0.7000000059604645","0.7000000059604645","0.7000000059604645","","","","","","","","","","","","","","","","","",""
"2.24","","","","","","","7335","7335","7335","0.925","0.925","0.925","14671","14671","14671","0.725","0.725","0.725","14671","14671","14671","1","1","1","","","","","","","7335","7335","7335","0.95","0.95","0.95","14671","14671","14671","1","1","1","14671","14671","14671","0.8","0.8","0.8"
"2.26","","","","","","","","","","","","","14802","14802","14802","0.675","0.675","0.675","14802","14802","14802","0.925","0.925","0.925","","","","","","","","","","","","","14802","14802","14802","1","1","1","14802","14802","14802","0.7","0.7","0.7"
