"train/epoch","Qwen/Qwen3-32B-low-format - _step","Qwen/Qwen3-32B-low-format - _step__MIN","Qwen/Qwen3-32B-low-format - _step__MAX","Qwen/Qwen3-32B-low-format - train/rewards/reward_format_hint/mean","Qwen/Qwen3-32B-low-format - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-32B-low-format - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-14B-low-format - _step","Qwen/Qwen3-14B-low-format - _step__MIN","Qwen/Qwen3-14B-low-format - _step__MAX","Qwen/Qwen3-14B-low-format - train/rewards/reward_format_hint/mean","Qwen/Qwen3-14B-low-format - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-14B-low-format - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-0.6B-low-format - _step","Qwen/Qwen3-0.6B-low-format - _step__MIN","Qwen/Qwen3-0.6B-low-format - _step__MAX","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_format_hint/mean","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-4B-low-format - _step","Qwen/Qwen3-4B-low-format - _step__MIN","Qwen/Qwen3-4B-low-format - _step__MAX","Qwen/Qwen3-4B-low-format - train/rewards/reward_format_hint/mean","Qwen/Qwen3-4B-low-format - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-4B-low-format - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-32B - _step","Qwen/Qwen3-32B - _step__MIN","Qwen/Qwen3-32B - _step__MAX","Qwen/Qwen3-32B - train/rewards/reward_format_hint/mean","Qwen/Qwen3-32B - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-32B - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-14B - _step","Qwen/Qwen3-14B - _step__MIN","Qwen/Qwen3-14B - _step__MAX","Qwen/Qwen3-14B - train/rewards/reward_format_hint/mean","Qwen/Qwen3-14B - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-14B - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-4B - _step","Qwen/Qwen3-4B - _step__MIN","Qwen/Qwen3-4B - _step__MAX","Qwen/Qwen3-4B - train/rewards/reward_format_hint/mean","Qwen/Qwen3-4B - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-4B - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-0.6B - _step","Qwen/Qwen3-0.6B - _step__MIN","Qwen/Qwen3-0.6B - _step__MAX","Qwen/Qwen3-0.6B - train/rewards/reward_format_hint/mean","Qwen/Qwen3-0.6B - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-0.6B - train/rewards/reward_format_hint/mean__MAX"
"0.26","","","","","","","","","","","","","1702","1702","1702","1","1","1","1702","1702","1702","0.75","0.75","0.75","","","","","","","","","","","","","1702","1702","1702","0.875","0.875","0.875","1702","1702","1702","1","1","1"
"0.28","","","","","","","916","916","916","0.5375","0.5375","0.5375","1833","1833","1833","1","1","1","1833","1833","1833","0.775","0.775","0.775","","","","","","","916","916","916","0.7375","0.7375","0.7375","1833","1833","1833","0.775","0.775","0.775","1833","1833","1833","1","1","1"
"0.2994011976047904","654","654","654","0.20000000149011612","0.20000000149011612","0.20000000149011612","","","","","","","","","","","","","","","","","","","654","654","654","0.08333333358168601","0.08333333358168601","0.08333333358168601","","","","","","","","","","","","","","","","","",""
"0.3","","","","","","","","","","","","","1964","1964","1964","1","1","1","1964","1964","1964","0.925","0.925","0.925","","","","","","","","","","","","","1964","1964","1964","0.825","0.825","0.825","1964","1964","1964","1","1","1"
"0.32","","","","","","","1047","1047","1047","0.6875","0.6875","0.6875","2095","2095","2095","0.925","0.925","0.925","2095","2095","2095","0.625","0.625","0.625","","","","","","","1047","1047","1047","0.8","0.8","0.8","2095","2095","2095","0.675","0.675","0.675","2095","2095","2095","1","1","1"
"0.34","","","","","","","","","","","","","2226","2226","2226","0.95","0.95","0.95","2226","2226","2226","0.825","0.825","0.825","","","","","","","","","","","","","2226","2226","2226","0.85","0.85","0.85","2226","2226","2226","1","1","1"
"0.3592814371257485","785","785","785","0.1833333343267441","0.1833333343267441","0.1833333343267441","","","","","","","","","","","","","","","","","","","785","785","785","0.09166666716337205","0.09166666716337205","0.09166666716337205","","","","","","","","","","","","","","","","","",""
"0.36","","","","","","","1178","1178","1178","0.575","0.575","0.575","2357","2357","2357","0.95","0.95","0.95","2357","2357","2357","0.725","0.725","0.725","","","","","","","1178","1178","1178","0.8","0.8","0.8","2357","2357","2357","0.425","0.425","0.425","2357","2357","2357","0.975","0.975","0.975"
"0.38","","","","","","","","","","","","","2488","2488","2488","1","1","1","2488","2488","2488","0.975","0.975","0.975","","","","","","","","","","","","","2488","2488","2488","0.925","0.925","0.925","2488","2488","2488","1","1","1"
"0.4","","","","","","","1309","1309","1309","0.7","0.7","0.7","2619","2619","2619","1","1","1","2619","2619","2619","0.925","0.925","0.925","","","","","","","1309","1309","1309","0.825","0.825","0.825","2619","2619","2619","0.7","0.7","0.7","2619","2619","2619","1","1","1"
"0.41916167664670656","916","916","916","0.3416666634380817","0.3416666634380817","0.3416666634380817","","","","","","","","","","","","","","","","","","","916","916","916","0.24166667014360427","0.24166667014360427","0.24166667014360427","","","","","","","","","","","","","","","","","",""
"0.42","","","","","","","","","","","","","2750","2750","2750","1","1","1","2750","2750","2750","0.825","0.825","0.825","","","","","","","","","","","","","2750","2750","2750","0.75","0.75","0.75","2750","2750","2750","1","1","1"
"0.44","","","","","","","1440","1440","1440","0.6","0.6","0.6","2881","2881","2881","1","1","1","2881","2881","2881","0.975","0.975","0.975","","","","","","","1440","1440","1440","0.7625","0.7625","0.7625","2881","2881","2881","0.85","0.85","0.85","2881","2881","2881","1","1","1"
"0.46","","","","","","","","","","","","","3012","3012","3012","1","1","1","3012","3012","3012","0.875","0.875","0.875","","","","","","","","","","","","","3012","3012","3012","0.775","0.775","0.775","3012","3012","3012","1","1","1"
