"train/epoch","Qwen/Qwen3-32B-low-format - _step","Qwen/Qwen3-32B-low-format - _step__MIN","Qwen/Qwen3-32B-low-format - _step__MAX","Qwen/Qwen3-32B-low-format - train/rewards/reward_connected_line/mean","Qwen/Qwen3-32B-low-format - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-32B-low-format - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-14B-low-format - _step","Qwen/Qwen3-14B-low-format - _step__MIN","Qwen/Qwen3-14B-low-format - _step__MAX","Qwen/Qwen3-14B-low-format - train/rewards/reward_connected_line/mean","Qwen/Qwen3-14B-low-format - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-14B-low-format - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-0.6B-low-format - _step","Qwen/Qwen3-0.6B-low-format - _step__MIN","Qwen/Qwen3-0.6B-low-format - _step__MAX","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_connected_line/mean","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-4B-low-format - _step","Qwen/Qwen3-4B-low-format - _step__MIN","Qwen/Qwen3-4B-low-format - _step__MAX","Qwen/Qwen3-4B-low-format - train/rewards/reward_connected_line/mean","Qwen/Qwen3-4B-low-format - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-4B-low-format - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-32B - _step","Qwen/Qwen3-32B - _step__MIN","Qwen/Qwen3-32B - _step__MAX","Qwen/Qwen3-32B - train/rewards/reward_connected_line/mean","Qwen/Qwen3-32B - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-32B - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-14B - _step","Qwen/Qwen3-14B - _step__MIN","Qwen/Qwen3-14B - _step__MAX","Qwen/Qwen3-14B - train/rewards/reward_connected_line/mean","Qwen/Qwen3-14B - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-14B - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-4B - _step","Qwen/Qwen3-4B - _step__MIN","Qwen/Qwen3-4B - _step__MAX","Qwen/Qwen3-4B - train/rewards/reward_connected_line/mean","Qwen/Qwen3-4B - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-4B - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-0.6B - _step","Qwen/Qwen3-0.6B - _step__MIN","Qwen/Qwen3-0.6B - _step__MAX","Qwen/Qwen3-0.6B - train/rewards/reward_connected_line/mean","Qwen/Qwen3-0.6B - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-0.6B - train/rewards/reward_connected_line/mean__MAX"
"0.24","","","","","","","785","785","785","0.5875","0.5875","0.5875","1571","1571","1571","0.825","0.825","0.825","1571","1571","1571","0.75","0.75","0.75","","","","","","","785","785","785","0.6625","0.6625","0.6625","1571","1571","1571","0.7","0.7","0.7","1571","1571","1571","1","1","1"
"0.26","","","","","","","","","","","","","1702","1702","1702","0.9","0.9","0.9","1702","1702","1702","0.775","0.775","0.775","","","","","","","","","","","","","1702","1702","1702","0.8","0.8","0.8","1702","1702","1702","1","1","1"
"0.28","","","","","","","916","916","916","0.5125","0.5125","0.5125","1833","1833","1833","0.85","0.85","0.85","1833","1833","1833","0.625","0.625","0.625","","","","","","","916","916","916","0.7375","0.7375","0.7375","1833","1833","1833","0.725","0.725","0.725","1833","1833","1833","0.95","0.95","0.95"
"0.2994011976047904","654","654","654","0.2083333358168602","0.2083333358168602","0.2083333358168602","","","","","","","","","","","","","","","","","","","654","654","654","0.10000000298023223","0.10000000298023223","0.10000000298023223","","","","","","","","","","","","","","","","","",""
"0.3","","","","","","","","","","","","","1964","1964","1964","0.725","0.725","0.725","1964","1964","1964","0.8","0.8","0.8","","","","","","","","","","","","","1964","1964","1964","0.7","0.7","0.7","1964","1964","1964","0.925","0.925","0.925"
"0.32","","","","","","","1047","1047","1047","0.6625","0.6625","0.6625","2095","2095","2095","0.65","0.65","0.65","2095","2095","2095","0.575","0.575","0.575","","","","","","","1047","1047","1047","0.8","0.8","0.8","2095","2095","2095","0.55","0.55","0.55","2095","2095","2095","0.95","0.95","0.95"
"0.34","","","","","","","","","","","","","2226","2226","2226","0.775","0.775","0.775","2226","2226","2226","0.825","0.825","0.825","","","","","","","","","","","","","2226","2226","2226","0.775","0.775","0.775","2226","2226","2226","0.975","0.975","0.975"
"0.3592814371257485","785","785","785","0.1916666679084301","0.1916666679084301","0.1916666679084301","","","","","","","","","","","","","","","","","","","785","785","785","0.14166666865348815","0.14166666865348815","0.14166666865348815","","","","","","","","","","","","","","","","","",""
"0.36","","","","","","","1178","1178","1178","0.575","0.575","0.575","2357","2357","2357","0.875","0.875","0.875","2357","2357","2357","0.6","0.6","0.6","","","","","","","1178","1178","1178","0.75","0.75","0.75","2357","2357","2357","0.475","0.475","0.475","2357","2357","2357","0.9","0.9","0.9"
"0.38","","","","","","","","","","","","","2488","2488","2488","0.825","0.825","0.825","2488","2488","2488","0.85","0.85","0.85","","","","","","","","","","","","","2488","2488","2488","0.825","0.825","0.825","2488","2488","2488","0.95","0.95","0.95"
"0.4","","","","","","","1309","1309","1309","0.6875","0.6875","0.6875","2619","2619","2619","0.825","0.825","0.825","2619","2619","2619","0.875","0.875","0.875","","","","","","","1309","1309","1309","0.775","0.775","0.775","2619","2619","2619","0.675","0.675","0.675","2619","2619","2619","0.9","0.9","0.9"
"0.41916167664670656","916","916","916","0.36666666343808174","0.36666666343808174","0.36666666343808174","","","","","","","","","","","","","","","","","","","916","916","916","0.2833333358168602","0.2833333358168602","0.2833333358168602","","","","","","","","","","","","","","","","","",""
"0.42","","","","","","","","","","","","","2750","2750","2750","0.925","0.925","0.925","2750","2750","2750","0.825","0.825","0.825","","","","","","","","","","","","","2750","2750","2750","0.65","0.65","0.65","2750","2750","2750","0.95","0.95","0.95"
"0.44","","","","","","","1440","1440","1440","0.5875","0.5875","0.5875","2881","2881","2881","0.675","0.675","0.675","2881","2881","2881","0.95","0.95","0.95","","","","","","","1440","1440","1440","0.775","0.775","0.775","2881","2881","2881","0.825","0.825","0.825","2881","2881","2881","1","1","1"
"0.46","","","","","","","","","","","","","3012","3012","3012","0.675","0.675","0.675","3012","3012","3012","0.825","0.825","0.825","","","","","","","","","","","","","3012","3012","3012","0.7","0.7","0.7","3012","3012","3012","0.975","0.975","0.975"
"0.47904191616766467","1047","1047","1047","0.1916666693985462","0.1916666693985462","0.1916666693985462","","","","","","","","","","","","","","","","","","","1047","1047","1047","0.1583333358168602","0.1583333358168602","0.1583333358168602","","","","","","","","","","","","","","","","","",""
"0.48","","","","","","","1571","1571","1571","0.6125","0.6125","0.6125","3143","3143","3143","0.8","0.8","0.8","3143","3143","3143","0.8","0.8","0.8","","","","","","","1571","1571","1571","0.8125","0.8125","0.8125","3143","3143","3143","0.9","0.9","0.9","3143","3143","3143","0.95","0.95","0.95"
"0.5","","","","","","","","","","","","","3274","3274","3274","0.675","0.675","0.675","3274","3274","3274","0.675","0.675","0.675","","","","","","","","","","","","","3274","3274","3274","0.6","0.6","0.6","3274","3274","3274","0.95","0.95","0.95"
"0.52","","","","","","","1702","1702","1702","0.525","0.525","0.525","3405","3405","3405","0.85","0.85","0.85","3405","3405","3405","0.775","0.775","0.775","","","","","","","1702","1702","1702","0.7","0.7","0.7","3405","3405","3405","0.625","0.625","0.625","3405","3405","3405","0.975","0.975","0.975"
"0.5389221556886228","1178","1178","1178","0.2583333350718021","0.2583333350718021","0.2583333350718021","","","","","","","","","","","","","","","","","","","1178","1178","1178","0.17500000298023224","0.17500000298023224","0.17500000298023224","","","","","","","","","","","","","","","","","",""
"0.54","","","","","","","","","","","","","3536","3536","3536","0.775","0.775","0.775","3536","3536","3536","0.975","0.975","0.975","","","","","","","","","","","","","3536","3536","3536","0.675","0.675","0.675","3536","3536","3536","1","1","1"
"0.56","","","","","","","1833","1833","1833","0.5375","0.5375","0.5375","3667","3667","3667","0.725","0.725","0.725","3667","3667","3667","0.875","0.875","0.875","","","","","","","1833","1833","1833","0.7375","0.7375","0.7375","3667","3667","3667","0.75","0.75","0.75","3667","3667","3667","0.975","0.975","0.975"
"0.58","","","","","","","","","","","","","3798","3798","3798","0.8","0.8","0.8","3798","3798","3798","0.75","0.75","0.75","","","","","","","","","","","","","3798","3798","3798","0.775","0.775","0.775","3798","3798","3798","1","1","1"
"0.5988023952095808","1309","1309","1309","0.21666667014360427","0.21666667014360427","0.21666667014360427","","","","","","","","","","","","","","","","","","","1309","1309","1309","0.10000000149011612","0.10000000149011612","0.10000000149011612","","","","","","","","","","","","","","","","","",""
"0.6","","","","","","","1964","1964","1964","0.525","0.525","0.525","3929","3929","3929","0.675","0.675","0.675","3929","3929","3929","0.875","0.875","0.875","","","","","","","1964","1964","1964","0.6875","0.6875","0.6875","3929","3929","3929","0.9","0.9","0.9","3929","3929","3929","0.925","0.925","0.925"
"0.62","","","","","","","","","","","","","4060","4060","4060","0.9","0.9","0.9","4060","4060","4060","0.95","0.95","0.95","","","","","","","","","","","","","4060","4060","4060","0.975","0.975","0.975","4060","4060","4060","1","1","1"
"0.64","","","","","","","2095","2095","2095","0.55","0.55","0.55","4191","4191","4191","0.8","0.8","0.8","4191","4191","4191","0.925","0.925","0.925","","","","","","","2095","2095","2095","0.775","0.775","0.775","4191","4191","4191","0.85","0.85","0.85","4191","4191","4191","0.95","0.95","0.95"
"0.6586826347305389","1440","1440","1440","0.27500000074505804","0.27500000074505804","0.27500000074505804","","","","","","","","","","","","","","","","","","","1440","1440","1440","0.1666666679084301","0.1666666679084301","0.1666666679084301","","","","","","","","","","","","","","","","","",""
"0.66","","","","","","","","","","","","","4322","4322","4322","0.9","0.9","0.9","4322","4322","4322","0.875","0.875","0.875","","","","","","","","","","","","","4322","4322","4322","0.875","0.875","0.875","4322","4322","4322","0.925","0.925","0.925"
"0.68","","","","","","","2226","2226","2226","0.55","0.55","0.55","4453","4453","4453","0.8","0.8","0.8","4453","4453","4453","0.975","0.975","0.975","","","","","","","2226","2226","2226","0.8","0.8","0.8","4453","4453","4453","0.975","0.975","0.975","4453","4453","4453","0.925","0.925","0.925"
"0.7","","","","","","","","","","","","","4584","4584","4584","0.675","0.675","0.675","4584","4584","4584","0.875","0.875","0.875","","","","","","","","","","","","","4584","4584","4584","0.875","0.875","0.875","4584","4584","4584","0.9","0.9","0.9"
"0.718562874251497","1571","1571","1571","0.33333333358168604","0.33333333358168604","0.33333333358168604","","","","","","","","","","","","","","","","","","","1571","1571","1571","0.34166666865348816","0.34166666865348816","0.34166666865348816","","","","","","","","","","","","","","","","","",""
"0.72","","","","","","","2357","2357","2357","0.5625","0.5625","0.5625","4715","4715","4715","0.75","0.75","0.75","4715","4715","4715","0.9","0.9","0.9","","","","","","","2357","2357","2357","0.825","0.825","0.825","4715","4715","4715","0.875","0.875","0.875","4715","4715","4715","0.95","0.95","0.95"
"0.74","","","","","","","","","","","","","4846","4846","4846","0.775","0.775","0.775","4846","4846","4846","0.825","0.825","0.825","","","","","","","","","","","","","4846","4846","4846","0.875","0.875","0.875","4846","4846","4846","0.825","0.825","0.825"
